%LATITUDE (°) - tide free	LONGITUDE (°) - tide free	h (m) - tide free	Anomalia de gravidade residual (mGal)
-26.12347280	-49.19479341	880.32000000	107.56682546
-26.12077501	-49.19489488	865.79000000	105.58660021
-26.11896309	-49.19293287	843.73000000	103.23142862
-26.11937083	-49.19017679	867.19000000	105.84679709
-26.11891448	-49.18762402	886.13000000	107.35661097
-26.11955169	-49.18374446	891.48000000	108.12264153
-26.11897191	-49.18000371	880.16000000	107.09432952
-26.11699470	-49.17926442	891.04000000	107.82779298
-26.11415619	-49.17822855	880.84000000	106.50006906
-26.11143687	-49.17591105	847.97000000	102.82442834
-26.11031901	-49.17388872	857.99000000	104.48917564
-26.10970757	-49.17122864	884.61000000	107.32359204
-26.10707895	-49.17179946	882.77000000	105.79079773
-26.10437203	-49.17260141	874.54000000	104.57621376
-26.10151999	-49.17192592	860.45000000	104.53000329
-26.09714565	-49.17079426	875.03000000	105.20709915
-26.09319996	-49.16787654	873.87000000	104.49501424
-26.09381605	-49.16237857	854.54000000	105.22550189
-26.09361405	-49.15857287	856.48000000	104.98902452
-26.09419176	-49.15433508	862.92000000	105.51229572
-26.09205978	-49.14997993	866.54000000	106.08518736
-26.72608156	-49.48457942	521.64000000	20.94668765
-26.73393443	-49.47854936	520.65000000	20.44976607
-26.74436465	-49.47809814	525.19000000	22.87553060
-26.75279407	-49.47338928	520.10000000	24.59532844
-26.75791656	-49.46472628	520.97000000	25.45027451
-26.75838422	-49.45459932	521.96000000	26.49968328
-26.76095071	-49.44447961	453.17000000	18.98789136
-26.76741750	-49.43690905	450.72000000	20.68897362
-26.77399985	-49.42852455	437.61000000	19.40445932
-26.78199780	-49.42463882	456.09000000	22.11618826
-26.71715656	-49.48551810	520.17000000	20.89359261
-26.72125682	-49.49491195	521.57000000	17.96785292
-26.72500704	-49.50399560	521.63000000	16.73948043
-26.73124669	-49.51241771	522.69000000	16.08710944
-26.73803251	-49.51906959	523.74000000	16.00531330
-26.74560286	-49.52524374	525.35000000	15.84451872
-26.74962396	-49.53425902	526.52000000	14.82279244
-26.74651140	-49.54417079	528.82000000	12.81949056
-26.74397813	-49.55393768	534.91000000	11.30066412
-26.74325732	-49.56431722	573.45000000	15.54403257
-26.74376597	-49.57527104	605.29000000	17.48529488
-26.74999578	-49.58297013	598.01000000	15.46276881
-26.75281600	-49.59313192	603.05000000	14.71766582
-26.75383076	-49.60353351	617.09000000	14.31741159
-26.75032140	-49.61293072	656.89000000	17.97127439
-26.74959929	-49.62286171	657.51000000	15.91460073
-26.74845948	-49.63276133	662.50000000	14.91508077
-26.74782572	-49.64329472	738.92000000	21.35030907
-26.74232169	-49.65164449	904.20000000	37.23261966
-26.74163989	-49.66196387	937.96000000	39.44104452
-26.70795452	-49.48758044	523.29000000	19.03503382
-26.69928432	-49.49243207	521.17000000	15.12967608
-26.69560284	-49.50216492	522.72000000	13.55796892
-26.69525517	-49.51284126	524.91000000	11.51267462
-26.68791361	-49.51975183	525.93000000	8.73926517
-26.67889242	-49.51973940	528.12000000	9.63747434
-26.66780717	-49.51952932	526.38000000	8.72985102
-26.65906602	-49.52228384	527.09000000	6.95098877
-26.65131245	-49.51603597	704.74000000	29.64863772
-26.64290594	-49.51086602	709.28000000	29.42935261
-26.76104121	-49.47831518	519.49000000	22.50778051
-26.76646589	-49.48683204	520.23000000	21.59557416
-26.76740143	-49.49766908	523.16000000	21.03666731
-26.77350382	-49.50592022	524.42000000	19.45036233
-26.77892909	-49.51379193	528.93000000	18.15592061
-26.78667223	-49.51943740	580.36000000	23.23197941
-26.79251236	-49.52685195	649.87000000	30.09447093
-26.79702280	-49.53785490	682.61000000	33.61439560
-26.80541106	-49.53929586	772.61000000	43.24849178
-26.81437591	-49.53985505	786.94000000	44.07165211
-26.77886951	-49.43682099	477.15000000	23.51143684
-26.78181652	-49.44629064	505.32000000	25.61001565
-26.78897808	-49.45238516	477.12000000	21.82801124
-26.79250629	-49.46176404	487.59000000	21.41695933
-26.80107184	-49.46516332	495.54000000	22.18203997
-26.80728384	-49.47280323	496.28000000	21.86603324
-26.81186886	-49.48150896	499.22000000	22.92175861
-26.80562140	-49.48309066	499.61000000	20.99604632
-26.80403980	-49.49288947	610.53000000	33.44451204
-26.71259559	-49.47847679	647.60000000	33.79167988
-26.72265217	-49.47728924	525.44000000	21.83837705
-26.72831991	-49.46934730	533.17000000	22.83528749
-26.73634590	-49.46461937	518.47000000	23.11173211
-26.74523342	-49.46284618	523.61000000	24.58469742
-26.75282680	-49.45705240	520.68000000	26.35164846
-26.75150138	-49.44605929	540.46000000	30.43911481
-26.74313746	-49.44169845	544.08000000	31.20340167
-26.73208860	-49.44344276	582.21000000	33.29398850
-26.72877255	-49.45269131	570.27000000	29.73870306
-26.73074518	-49.42490668	524.64000000	31.26348745
-26.73066534	-49.41475168	514.08000000	31.62113557
-26.72082768	-49.40385963	517.79000000	29.37074403
-26.70747735	-49.39981771	524.96000000	29.55266418
-26.69639685	-49.40075872	596.64000000	38.70841754
-26.69717223	-49.40983268	547.68000000	36.16839860
-26.71860071	-49.42131559	513.39000000	29.28807620
-26.70687469	-49.42761786	521.84000000	28.34659279
-26.69293520	-49.42908433	572.74000000	33.94141750
-26.68260738	-49.42870608	593.72000000	30.88715598
-26.68775774	-49.42068130	744.32000000	51.80743292
-26.68465855	-49.41501182	760.43000000	52.90768694
-26.67966714	-49.41622522	779.04000000	53.74615177
-26.67587863	-49.42562735	790.92000000	53.59708975
-26.66710155	-49.42479229	791.88000000	54.82938451
-26.67702650	-49.40586926	757.96000000	51.92897846
-26.67013233	-49.39843674	820.76000000	58.91244108
-26.66124561	-49.40255113	814.03000000	57.14809742
-26.65545492	-49.41010254	814.99000000	56.09037401
-26.72212808	-49.46690404	528.83000000	23.31854943
-26.72015618	-49.45668185	597.27000000	30.92359130
-26.71204829	-49.45368425	735.45000000	47.14687558
-26.70589280	-49.46063034	739.41000000	46.26589769
-26.69683845	-49.46021574	715.36000000	43.05037976
-26.68791770	-49.46117375	720.77000000	42.63796198
-26.68201986	-49.46729996	772.20000000	44.97145996
-26.68120572	-49.47736583	775.16000000	44.27355465
-26.68838948	-49.48341486	719.33000000	38.99772526
-26.69695368	-49.48474934	684.86000000	35.34111991
-26.68733569	-49.47541621	866.19000000	54.76531186
-26.67938409	-49.45803992	686.09000000	37.30225491
-26.66961446	-49.45923638	691.79000000	36.71038746
-26.66252608	-49.46122679	697.77000000	35.87844907
-26.67034578	-49.45020986	721.65000000	40.77482698
-26.68519140	-49.45057955	552.11000000	24.40127250
-26.69757310	-49.44565483	544.04000000	27.21865795
-26.70487510	-49.43260749	525.69000000	28.13942578
-26.73248066	-49.43369385	567.84000000	34.00326147
-26.74454114	-49.42111741	506.21000000	28.61358714
-26.75339091	-49.42299365	521.56000000	29.53190548
-26.76343143	-49.41318002	497.75000000	27.75335749
-26.77397324	-49.40385225	300.04000000	6.63023648
-26.77710338	-49.41564557	320.39000000	5.43873992
-26.77946545	-49.45369995	520.90000000	26.16365335
-26.78593272	-49.46173029	495.34000000	23.32672595
-26.78285460	-49.47168083	513.25000000	22.49187428
-26.76118979	-49.46214697	557.35000000	29.32119902
-26.76712176	-49.45216016	582.65000000	32.62979731
-26.77339893	-49.45651842	540.55000000	28.38478392
-26.71466119	-49.49543499	595.03000000	25.59874900
-26.71191116	-49.50456196	665.94000000	31.57891624
-26.70854819	-49.51399663	694.75000000	32.66759643
-26.70849892	-49.52423366	644.47000000	25.97501074
-26.71195625	-49.53494343	622.70000000	22.14762487
-26.71627841	-49.54369204	667.79000000	25.66620119
-26.71687211	-49.55405625	779.16000000	38.59259421
-26.72206254	-49.56256504	793.78000000	39.37087698
-26.73127503	-49.56324580	709.33000000	28.45491458
-26.74599167	-49.59882889	676.33000000	22.11339571
-26.72948985	-49.52292464	665.52000000	29.71947046
-26.73016498	-49.53312849	646.94000000	26.67179184
-26.72004239	-49.52140019	673.52000000	29.81060026
-26.71697939	-49.51394525	690.78000000	32.46652952
-26.70101151	-49.53080776	639.13000000	25.44695162
-26.69194353	-49.53277372	689.19000000	28.68440935
-26.69384212	-49.52321014	654.75000000	25.54613913
-26.68334420	-49.51091078	658.55000000	27.17853588
-26.67778786	-49.50722653	694.99000000	31.52353415
-26.68827943	-49.49663411	616.91000000	23.73817627
-26.67997165	-49.49382874	694.29000000	32.69042846
-26.67259387	-49.48745263	827.51000000	47.66676112
-26.66349434	-49.48684029	899.62000000	54.67642259
-26.75483906	-49.52875451	584.00000000	23.81050791
-26.76315930	-49.53433808	577.62000000	21.76108474
-26.76342874	-49.54456124	628.55000000	26.35295883
-26.77059500	-49.55141159	729.95000000	36.84497537
-26.76283382	-49.55575478	743.03000000	37.71482252
-26.77857291	-49.54717242	784.79000000	42.41641568
-26.78561843	-49.54137258	792.70000000	44.41311824
-26.77878618	-49.53466708	794.43000000	45.74340327
-26.77185134	-49.52669665	812.82000000	47.48499214
-26.79110232	-49.53296131	686.93000000	35.27824652
-26.77559757	-49.49260383	570.57000000	26.71604864
-26.78273443	-49.49547218	733.03000000	45.42934392
-26.73273932	-49.49085376	524.85000000	18.88990012
-26.75634768	-49.48310564	521.06000000	21.45773814
-26.74999443	-49.48352132	647.54000000	35.60041644
-26.75284379	-49.49295936	646.54000000	34.54727277
-26.75525662	-49.50011133	655.87000000	33.41050302
-26.74813128	-49.49358739	753.35000000	43.95339192
-26.73565646	-49.43396971	561.78000000	34.07483959
