%LATITUDE (°) - tide free	LONGITUDE (°) - tide free	Anomalia refinada de Bouguer (mGal) - zero tide
-26.66124561	-49.40255113	-38.96703092
-26.65545492	-49.41010254	-39.55216897
-26.72212808	-49.46690404	-40.68460234
-26.72015618	-49.45668185	-41.08061065
-26.71204829	-49.45368425	-40.15045217
-26.70589280	-49.46063034	-40.97497225
-26.69683845	-49.46021574	-41.18335041
-26.68791770	-49.46117375	-41.81538487
-26.68201986	-49.46729996	-44.75113777
-26.68120572	-49.47736583	-45.35141267
-26.68838948	-49.48341486	-44.43858119
-26.69695368	-49.48474934	-44.51799100
-26.68733569	-49.47541621	-45.35813714
-26.67938409	-49.45803992	-43.05200623
-26.66961446	-49.45923638	-43.81762792
-26.66252608	-49.46122679	-44.92695907
-26.67034578	-49.45020986	-43.48231114
-26.68519140	-49.45057955	-41.50909895
-26.69757310	-49.44565483	-38.47437186
-26.70487510	-49.43260749	-36.30705811
-26.73248066	-49.43369385	-36.04946105
-26.74454114	-49.42111741	-35.42944964
-26.75339091	-49.42299365	-36.39323517
-26.76343143	-49.41318002	-36.17810567
-26.77397324	-49.40385225	-35.83032630
-26.77710338	-49.41564557	-38.86740052
-26.77946545	-49.45369995	-39.02012192
-26.78593272	-49.46173029	-38.79430120
-26.78285460	-49.47168083	-41.16245865
-26.76118979	-49.46214697	-39.18078088
-26.76712176	-49.45216016	-39.25439215
-26.77339893	-49.45651842	-38.75166593
-26.71466119	-49.49543499	-44.43157986
-26.71191116	-49.50456196	-45.93368018
-26.70854819	-49.51399663	-47.59173408
-26.70849892	-49.52423366	-48.27725438
-26.71195625	-49.53494343	-49.38886769
-26.71627841	-49.54369204	-50.73141367
-26.71687211	-49.55405625	-49.89706898
-26.72206254	-49.56256504	-50.60770132
-26.73127503	-49.56324580	-52.32869335
-26.74599167	-49.59882889	-54.11982315
-26.72948985	-49.52292464	-47.60756661
-26.73016498	-49.53312849	-48.21305209
-26.72004239	-49.52140019	-48.17636710
-26.71697939	-49.51394525	-47.63383419
-26.70101151	-49.53080776	-47.70269809
-26.69194353	-49.53277372	-49.65989926
-26.69384212	-49.52321014	-49.36954658
-26.68334420	-49.51091078	-48.21598020
-26.67778786	-49.50722653	-47.85880714
-26.68827943	-49.49663411	-47.73403051
-26.67997165	-49.49382874	-47.20941358
-26.67259387	-49.48745263	-47.06321042
-26.66349434	-49.48684029	-47.74386560
-26.75483906	-49.52875451	-44.86761514
-26.76315930	-49.53433808	-46.18536515
-26.76342874	-49.54456124	-46.90509916
-26.77059500	-49.55141159	-47.64572397
-26.76283382	-49.55575478	-47.91021134
-26.77857291	-49.54717242	-48.52382045
-26.78561843	-49.54137258	-47.76213217
-26.77878618	-49.53466708	-46.75681783
-26.77185134	-49.52669665	-47.24035412
-26.79110232	-49.53296131	-45.49204446
-26.77559757	-49.49260383	-42.35249314
-26.78273443	-49.49547218	-41.83025066
-26.73273932	-49.49085376	-44.04746509
-26.75634768	-49.48310564	-42.01472765
-26.74999443	-49.48352132	-41.83423015
-26.75284379	-49.49295936	-42.47241106
-26.75525662	-49.50011133	-44.42955079
-26.74813128	-49.49358739	-44.85917533
-26.73565646	-49.43396971	-35.38554166
-26.81855591	-49.48732099	-40.63981709
-26.82611868	-49.49462246	-40.49830640
-26.80442696	-49.47568468	-41.10557263
-26.79722760	-49.47313600	-41.26113890
-26.78734191	-49.47472749	-41.03200129
-26.78645775	-49.47986532	-40.81681971
-26.74015570	-49.50842875	-44.33442379
-26.74444982	-49.50951334	-43.84399090
-26.75046686	-49.65788559	-62.10570039
-26.75878799	-49.65216264	-61.45044383
-26.76671665	-49.64655541	-60.22761878
-26.77570940	-49.64449073	-59.77991056
-26.78064165	-49.63525634	-58.79341580
-26.78750913	-49.61978467	-58.72123043
-26.77930394	-49.62509241	-52.87926122
-26.79619706	-49.62230844	-54.55232323
-26.79724960	-49.61265188	-53.78286198
-26.79731116	-49.60260915	-49.97064495
-26.80782780	-49.59857223	-50.23271610
-26.82420738	-49.60738784	-52.21573909
-26.81630247	-49.60333333	-50.69536152
-26.80895845	-49.58823197	-51.84099723
-26.80377815	-49.57993912	-51.65634311
-26.80828266	-49.59383869	-50.89081093
-26.74155076	-49.61192759	-56.33520348
-26.73264879	-49.60972901	-57.28822347
-26.65819591	-49.53230327	-51.68784970
-26.65804625	-49.54293743	-51.46642125
-26.66397675	-49.55052977	-51.49140228
-26.66929951	-49.55010529	-51.50202981
-26.65130381	-49.55790991	-52.17975900
-26.64673391	-49.55226196	-51.15461648
-26.65488944	-49.54981225	-51.19605294
-26.65522323	-49.48842844	-47.78294365
-26.66216616	-49.49557881	-48.36500025
-26.69393059	-49.49411610	-46.52071985
-26.71703192	-49.45345448	-38.85703802
-26.71732534	-49.44581192	-38.16693034
-26.74973633	-49.50260464	-44.45876808
-26.74129537	-49.49715067	-44.97925286
-26.80106433	-49.52836066	-45.55678427
-26.80956693	-49.52271751	-44.71367589
-26.81675886	-49.51706557	-43.94172858
-26.82202595	-49.50942368	-43.22784291
-26.82532960	-49.50133004	-41.50044629
-26.81761257	-49.47402622	-40.52656852
-26.82483428	-49.48065885	-41.09204502
-26.82298648	-49.43984821	-38.49080662
-26.81403164	-49.44154804	-39.12382060
-26.81841585	-49.45050224	-39.80385311
-26.81727169	-49.45976674	-40.00866252
-26.82655404	-49.45932452	-41.08723611
-26.80165115	-49.43413684	-38.17478579
-26.80343229	-49.44277157	-38.03036983
-26.79055153	-49.44715394	-38.38370131
-26.79601252	-49.44790309	-39.48198308
-26.78781145	-49.43193297	-38.68898106
-26.77369027	-49.39132295	-36.04908943
-26.76271175	-49.40059868	-36.40323805
-26.75314629	-49.41185815	-34.54724701
-26.79000355	-49.41724990	-36.94652419
-26.79794653	-49.42129996	-36.60938106
-26.80332622	-49.38813018	-39.92362054
-26.81117759	-49.40035739	-37.42424327
-26.80474608	-49.41393452	-33.96411573
-26.82226897	-49.41044817	-39.19663326
-26.78417798	-49.39596024	-34.75005038
-26.68120429	-49.66201973	-73.82542441
-26.67184444	-49.65924285	-73.97580572
-26.66274333	-49.65913570	-73.97319094
-26.65395193	-49.65643243	-75.60314349
-26.64520656	-49.65423636	-71.19261596
-26.65600379	-49.64621561	-74.11388616
-26.74287147	-49.63989651	-60.63863470
-26.74183106	-49.62957656	-59.09474152
-26.75702206	-49.58050940	-52.23322124
-26.76170669	-49.57587037	-51.29777091
-26.73637694	-49.57612739	-53.50257983
-26.70925230	-49.49305589	-43.02427203
-26.70601409	-49.50334779	-45.56327971
-26.63663999	-49.47234717	-48.00388132
-26.63874206	-49.46187277	-47.24056180
-26.64048857	-49.45183951	-45.62117638
-26.64496586	-49.44298492	-44.01460988
-26.65126772	-49.44169677	-45.02311649
-26.64683520	-49.43256119	-41.72574460
-26.65365497	-49.42609516	-41.63801053
-26.65176622	-49.41606696	-40.53776075
-26.64384952	-49.40948115	-38.99527169
-26.63545596	-49.40998883	-39.72317900
-26.64465214	-49.62416129	-69.80700305
-26.65298679	-49.62040203	-66.39635885
-26.66190956	-49.62316057	-66.41035813
-26.66079447	-49.61340863	-62.78885238
-26.66228885	-49.60351808	-59.55768635
-26.66134986	-49.59353938	-57.93328487
-26.66465068	-49.58434830	-55.80356897
-26.65378611	-49.59965731	-60.11282358
-26.64534155	-49.59674613	-60.64468027
-26.68683681	-49.60307025	-70.78885127
-26.65406934	-49.61038877	-68.81758910
-26.66998930	-49.61834527	-60.66394101
-26.67882041	-49.61785875	-56.28038464
-26.67723402	-49.62738923	-64.40411154
-26.68288639	-49.62703979	-70.33930418
-26.69154164	-49.63156425	-67.09418023
-26.69238269	-49.64167000	-74.13861169
-26.69394438	-49.65162798	-55.23576138
-26.68360558	-49.60839044	-44.00860990
-26.67794029	-49.59965512	-61.33192486
-26.68041784	-49.59006781	-60.43560312
-26.68889761	-49.59384162	-44.51068521
-26.69115945	-49.58408447	-63.14249295
-26.69598968	-49.60001507	-54.88336454
-26.70242845	-49.59423096	-61.32353018
-26.70324350	-49.60749039	-47.32324436
-26.67154597	-49.58798934	-56.05872126
-26.76329214	-49.50520017	-44.18274663
-26.79708035	-49.51934185	-44.91280164
-26.79472901	-49.51361795	-43.59010188
-26.81443221	-49.49659893	-41.52079215
-26.81300739	-49.50459403	-43.22645358
-26.77148576	-49.42121858	-37.71258870
-26.74434964	-49.43617828	-35.26371907
-26.72062485	-49.42761711	-35.01450217
-26.70564757	-49.44934579	-38.96317124
-26.69507380	-49.45043004	-39.08591160
-24.78488686	-49.28348233	-58.20646906
-24.79704728	-49.30869458	-57.28201387
-24.80733858	-49.33700781	-52.13705691
-24.82162194	-49.36360133	-49.86727692
-24.83458842	-49.39183342	-46.04930087
-24.84235181	-49.42036472	-44.55438324
-24.84814667	-49.45001611	-39.48061746
-24.87191036	-49.46537536	-40.28774404
-24.86130325	-49.48887047	-42.45769066
-24.88903828	-49.50295294	-43.56556492
-24.88031064	-49.53227894	-46.40251381
-24.88048356	-49.56344058	-45.73185071
-24.90756025	-49.56290944	-44.33289377
